Title,Conference
A Localization-Based Anti-Sensor Network System,INFOCOM
deformable precomputed radiance transfer,SIGGRAPH
A ray queueing and sorting design for real time ray casting,ISCAS
Zippered polygon meshes from range images,SIGGRAPH
"Scheduling Variable-Length Messages on Slotted, High-Speed Fiber Optic LANs/MANs Using the Continuation-Bit Approach",INFOCOM
High Speed Communication Protocols for Optical Star Coupler Using WDM,INFOCOM
WWW at 15 years: looking forward,WWW
An advanced architecture for image processing and analysis,ISCAS
Wavelet-based estimation of long-range dependence in MPEG video traces,ISCAS
Power reduction through iterative gate sizing and voltage scaling,ISCAS
Tag ranking,WWW
Time-interleaved multirate sigma-delta modulators,ISCAS
Lateral Error Recovery for Application-Level Multicast,INFOCOM
Providing session management as core business service,WWW
Interface and new interactive systems (panel session),SIGGRAPH
Resource management for scalable disconnected access to Web services,WWW
Detecting spam web pages through content analysis,WWW
Indexable PLA for Efficient Similarity Search,VLDB
Discriminative FilterBank selection and EEG information fusion for Brain Computer Interface,ISCAS
Integrating Software Agents into the HTTP Caching Infrastructure,WWW
An adaptive middleware infrastructure for mobile computing,WWW
Projection defocus analysis for scene capture and image display,SIGGRAPH
Coupled models for visualizing respiratory mechanics,SIGGRAPH
Extending the Algebraic Framework of Query Processing to Handle Outerjoins,VLDB
Fast High-Dimensional Data Search in Incomplete Databases,VLDB
Physically based motion transformation,SIGGRAPH
In Cyber Space No One can Hear You Scream,VLDB
3XNF: Redundancy eliminating XML storage in relations,VLDB
High-quality video view interpolation using a layered representation,SIGGRAPH
Context Independent Unique Sequences Generation for Protocol Testing,INFOCOM
Multicasting in a Linear Lightwave Network,INFOCOM
Planetary-scale views on a large instant-messaging network,WWW
Bid optimization for broad match ad auctions,WWW
Is High-Quality VoD Feasible using P2P Swarming?,WWW
Inferring XML Schema Definitions from XML Data,VLDB
Area efficient controller design of barrel shifters for reconfigurable LDPC decoders,ISCAS
Identifying link farm pages,WWW
Bringing Music to the Web,WWW
A Single Chip Implementation of Receive Path Termination for SONET OC-12c and Quadruple SONET OC-3c,ISCAS
Am object-based approach to plenoptic videos,ISCAS
On Representing Incomplete Information in a Relational Data Base,VLDB
Mining clickthrough data for collaborative web search,WWW
SUBJECT: A Directory Driven System for Organizing and Accessing Large Statistical Databases,VLDB
DMS: A Parallel Data Mining Server,VLDB
QoS and Fairness Constrained Convex Optimization of Resource Allocation for Wireless Cellular and Ad Hoc Networks,INFOCOM
Distributed web retrieval,WWW
Source Policing for ATM Systems Based on Peakedness Rate,INFOCOM
CG animation for piano performance,SIGGRAPH
A Cost-Effective Method for Providing Improved Data Availability During DBMS Restart Recovery After a Failure,VLDB
The CBP Parameter Ã¢â‚¬â€ù a Useful Annotation to Aid SDF Compilers 1,ISCAS
Garbage Collection in Object Oriented Databases Using Transactional Cyclic Reference Counting,VLDB
Maximizing Buffer and Disk Utilizations for News On-Demand,VLDB
Transport Layer Security: How Much Does It Really Cost?,INFOCOM
Designing a Practical Access Point Association Protocol,INFOCOM
Continuous-time feedback in floating-gate MOS circuits,ISCAS
Sketcha: a captcha based on line drawings of 3D models,WWW
Predictive Distance-Based Mobility Management for PCS Networks,INFOCOM
Disney's Aladdin: first steps toward storytelling in virtual reality,SIGGRAPH
Twig2Stack: Bottom-up Processing of Generalized-Tree-Pattern Queries over XML Documents,VLDB
Moving Slit Light Field Display,SIGGRAPH
Learning to rank with multiple objective functions,WWW
A comparative web browser (CWB) for browsing and comparing web pages,WWW
Mining Compressed Frequent-Pattern Sets,VLDB
A Logical Framework for Scheduling Workflows under Resource Allocation Constraints,VLDB
Logical structure based semantic relationship extraction from semi-structured documents,WWW
Towards semantic knowledge propagation from text corpus to web images,WWW
Optimal crawling strategies for web search engines,WWW
View morphing: synthesizing 3d metamorphoses using image transforms,SIGGRAPH
Normal meshes,SIGGRAPH
How reovirus kills cancer cells,SIGGRAPH
Active Storage For Large-Scale Data Mining and Multimedia Applications,VLDB
CMOS Circuits for On-Chip Capacitance Ratio Testing or Sensor Readout,ISCAS
Design of the Virtually Integrated Database Management System and the X.500 Directory Service for the Human Genome Project,INFOCOM
DQDB - An Access Delay Analysis,INFOCOM
Multi-level direction of autonomous creatures for real-time virtual environments,SIGGRAPH
A Foundation for Multi-dimensional Databases,VLDB
A free but efficient class AB two-stage operational amplifier,ISCAS
Using particles to sample and control implicit surfaces,SIGGRAPH
Digital face cloning,SIGGRAPH
"Proceedings of the 13th international conference on World Wide Web, WWW 2004, New York, NY, USA, May 17-20, 2004",WWW
Performance Study of Dynamic Load Balancing Policies for Distributed Systems with Service Interruptions,INFOCOM
Grid Data Management Systems & Services,VLDB
TCP Implementations and False Time Out Detection in OBS Networks,INFOCOM
Topology Control for Effective Interference Cancellation in Multi-User MIMO Networks,INFOCOM
Queuing Network Models for Multi-Channel P2P Live Streaming Systems,INFOCOM
Capacity Allocation in Statistical Multiplexing of ATM Sources,INFOCOM
Compact Histograms for Hierarchical Identifiers,VLDB
Predicting TCP Throughput From Non-invasive Network Sampling,INFOCOM
A web-based resource migration protocol using WebDAV,WWW
Rewriting queries on SPARQL views,WWW
Flow Aggregation for Enhanced TCP over Wide Area Wireless,INFOCOM
Click chain model in web search,WWW
Logarithmically Scalable Routing Algorithms in Large Optical Networks,INFOCOM
Virtual Hashing: A Dynamically Changing Hashing,VLDB
Volume Visualization: Principles and Advances,SIGGRAPH
WonderWhat: real-time event determination from photos,WWW
On the TCP-Friendliness of VoIP Traffic,INFOCOM
Simulated photographic development of synthetic images,SIGGRAPH
A Single-File Version of Linear Hashing with Partial Expansions,VLDB
How search engines shape the web,WWW
Recovering re-flectance models of real scenes range from photographs,SIGGRAPH
"Proceedings of the 15th international conference on World Wide Web, WWW 2006, Edinburgh, Scotland, UK, May 23-26, 2006",WWW
Support for fault tolerance in VLSI processors,ISCAS
REHIST: Relative Error Histogram Construction Algorithms,VLDB
Modelling TTL-based Internet Caches,INFOCOM
"Towards Simple, High-performance Schedulers for High-aggregate Bandwidth Switches",INFOCOM
The ADD System: An Architecture for Distributed Databases,VLDB
Automatic two-layer video object plane generation scheme and its application to MPEG-4 video coding,ISCAS
The hemi-cube: a radiosity solution for complex environments,SIGGRAPH
Adapt CC/PP to Real World Information to Customize Web Service,WWW
A 10 Bit Semi-Algorithmic Current Mode DAC,ISCAS
Buffering and Read-Ahead Strategies for External Mergesort,VLDB
BuzzRank ... and the trend is your friend,WWW
Multichannel Scheduling for Communication of Pre-orchestrated Multimedia Information,INFOCOM
"Lighting reconstruction for The Matrix Reloaded""""""ighting reconstructi""",SIGGRAPH
Ad Hoc Positioning System (APS) Using AOA,INFOCOM
Mobile-End Transport Protocol: An Alternative to TCP/IP Over Wireless Links,INFOCOM
In the rough,SIGGRAPH
Server Selection Using Dynamic Path Characterization in Wide-Area Networks,INFOCOM
Partial-spectrum-reconstruction digital filter banks,ISCAS
Fast animation and control of nonrigid structures,SIGGRAPH
"The rhetoric of the synthetic: images of the body in technology, business and culture (panel)",SIGGRAPH
Probabilistic QoS guarantee in reliability and timeliness domains in wireless sensor networks,INFOCOM
Who says what to whom on twitter,WWW
"GnatDb: A Small-Footprint, Secure Database System",VLDB
Bearing angle estimation for sonar micro-array using analog VLSI spatiotemporal processing,ISCAS
XML Schemas in Oracle XML DB,VLDB
VLSI implementation of a functional neural network,ISCAS
Relating Distributed Objects,VLDB
Synthesis of low area data format converters,ISCAS
XISS/R: XML Indexing and Storage System using RDBMS,VLDB
Unstructured lumigraph rendering,SIGGRAPH
Compact designs of mixcolumns and subbytes using a novel common subexpression elimination algorithm,ISCAS
Determining user interests about museum collections,WWW
Updating Derived Relations: Detecting Irrelevant and Autonomously Computable Updates,VLDB
Nested Multi-Connected Rings for Large High-Capacity LANs and MANs,INFOCOM
Effect of body biasing on embedded SRAM failure,ISCAS
Measuring and predicting visual fidelity,SIGGRAPH
Integrating Adaptive Hypermedia Techniques and Open RDF-based Environments,WWW
Fundamental Limits of Input Rate Contol in High Speed Networks,INFOCOM
Query and Update Efficient B+-Tree Based Indexing of Moving Objects,VLDB
The Propel Distributed Services Platform,VLDB
SixthSense: a wearable gestural interface,SIGGRAPH
Ontology Maturing: a Collaborative Web 2.0 Approach to Ontology Engineering,WWW
Animating character images in 3D space,SIGGRAPH
A model of visual masking for computer graphics,SIGGRAPH
A Fast Parallel Algorithm for Slicing Floorplans,ISCAS
Minimizing energy consumption of a chip multiprocessor through simultaneous core consolidation and DVFS,ISCAS
Techniques for Design and Implementation of Efficient Spatial Access Methods,VLDB
Fake fur rendering,SIGGRAPH
A 2.2mW CMOS LNA for 6-8.5GHz UWB receivers,ISCAS
Radioptimization: goal based rendering,SIGGRAPH
Efficient Progressive Skyline Computation,VLDB
The powerrank web link analysis algorithm,WWW
Challenges for Global Information Systems,VLDB
Meshless deformations based on shape matching,SIGGRAPH
Empirical Comparison of Database Concurrency Schemes,VLDB
Toward Practical Constraint Databases,VLDB
Blue screen matting,SIGGRAPH
Maintaining Temporal Coherency of Cooperating Dynamic Data Repositories,VLDB
Maximally flat FIR filters,ISCAS
Efficient Use of the Query Optimizer for Automated Physical Design,VLDB
Analyzing seller practices in a Brazilian marketplace,WWW
Calculation of Rademacher-Walsh Spectral Coefficients for Systems of Completely and Incompletely Specified Boolean Functions,ISCAS
"Extensions to the Staggering Switch"" Architecture""""xtensions to the ""Staggering Sw""""tensions to t""",INFOCOM
Delivering web service coordination capability to users,WWW
A new architecture to compute the discrete cosine transform using the quadratic residue number system,ISCAS
Linear-time dynamics using Lagrange multipliers,SIGGRAPH
Web Acceleration for Electronic Commerce Applications,WWW
Reading the fine print: what benchmarks don't tell you,SIGGRAPH
SASH: A Self-Adaptive Histogram Set for Dynamically Changing Workloads,VLDB
Consistent mesh parameterizations,SIGGRAPH
The Oracle Universal Server Buffer,VLDB
"Games, algorithms, and the Internet",WWW
Visual thinkers in an age of computer visualization: problems and possibilities,SIGGRAPH
Design of a Compact Cluster Structure by Using Genetic Algorithms,ISCAS
The difference between here and there: what graphic design brings to e-space (panel),SIGGRAPH
Database Tools and Interfaces,VLDB
Performance analysis of lattice-reduction algorithms for a novel LR-compatible K-Best MIMO detector,ISCAS
Bit-Error Rate Measurements for A High Frequency Interpolated Frequency-Hopping Spread-Spectrum System,ISCAS
WS-Replication: A Framework for Highly Available Web Services,WWW
Performance of Multicasting Closed Interconnection Networks,INFOCOM
Learning block importance models for web pages,WWW
On Wireless Spectrum Estimation and Generalized Graph Coloring,INFOCOM
Adaptively trained neural networks and their application to electric load forecasting,ISCAS
A game based approach to assign geographical relevance to web images,WWW
Finding authorities and hubs from link structures on the World Wide Web,WWW
Ascent: Adap-tive self-configurin g sensor network topologies,INFOCOM
An Extended Relational Database Model for Uncertain and Imprecise Information,VLDB
The Problem of Multiple Paths in a Database Schema,VLDB
Deep shadow maps,SIGGRAPH
Approximately linear-phase recursive digital filters with variable magnitude characteristics,ISCAS
Blind Source Extraction From Convolutive Mixtures in Ill-Conditioned Multi-Input Multi-Output Channels,ISCAS
EOG segmentation using fast algorithms,ISCAS
A Time Scale Decomposition Approach to Adaptive ECN Marking,INFOCOM
On the Design of Stabilizing Control for Structured Uncertain Singularly perturbed Systems,ISCAS
Typorganism,SIGGRAPH
Constrained Relay Node Placement in Wireless Sensor Networks to Meet Connectivity and Survivability Requirements,INFOCOM
Network Algorithms and Protocol for Multimedia Servers,INFOCOM
"Randomizing, A Practical Method for Protecting Statistical Databases Against Compromise",VLDB
Learning to tag,WWW
An Energy Efficient MAC Protocol for Wireless LANs,INFOCOM
Information Integration and XML in IBM's DB2,VLDB
The Boomerang White Paper: a Page As You Like It,WWW
Second international workshop on RESTful design (WS-REST 2011),WWW
A New Compression Method with Fast Searching on Large Databases,VLDB
Coarse-grained parallelism for hierarchical radiosity using group iterative methods,SIGGRAPH
Mesh optimization,SIGGRAPH
Fiber-Optic-Based Networks for Computer-Integrated Manufacturing,INFOCOM
Small Materialized Aggregates: A Light Weight Index Structure for Data Warehousing,VLDB
A large-scale study of robots.txt,WWW
StandardisationÃ¢â‚¬â€ùopportunity or constraint? (panel session),SIGGRAPH
Retrieving and organizing web pages by Ã¢â‚¬Å“information unitÃ¢â‚¬Âù,WWW
Data Base Design Tools,VLDB
Fast calculation of soft shadow textures using convolution,SIGGRAPH
Effective Phrase Prediction,VLDB
Single Transistor Learning Synapse with Long Term Storage,ISCAS
A client-aware dispatching algorithm for web clusters providing multiple services,WWW
Performance Analysis of Mean Internodal Distance of Connective Semi-Random Networks,INFOCOM
Embedding large meshes into small ones,ISCAS
Evaluation of a combined 2D/3D interface for micro electro mechanical systems (MEMS) design,SIGGRAPH
Visualizing the Internet: putting the user in the driver's seat (panel session),SIGGRAPH
Design of linear phase FIR filters using the nonuniform DCT,ISCAS
Associative Dynamics of Competitive Cellular Neural Network,ISCAS
Performance and Correctness of the ATM ABR Rate Control Scheme,INFOCOM
Bellcore's ADAPT/X Harness System for Managing Information on Internet and Intranets,VLDB
Cost Effective Traffic Grooming in WDM Rings,INFOCOM
Predicting popular messages in Twitter,WWW
NC milling error assessment and tool path correction,SIGGRAPH
Change-Centric Management of Versions in an XML Warehouse,VLDB
"Web search/browse log mining: challenges, methods, and applications",WWW
Cache Conscious Indexing for Decision-Support in Main Memory,VLDB
Predicting Internet Distance with Coordinate - Based Approaches,INFOCOM
Bounding the Unbounded,INFOCOM
OBBTree: A hierarchical structure for rapid interference detection,SIGGRAPH
On Available Bandwidth in FDDI-Based Reconfigurable Networks,INFOCOM
Space diffusion: an improved parallel halftoning technique using space-filling curves,SIGGRAPH
Mining Approximate Top-K Subspace Anomalies in Multi-Dimensional Time-Series Data,VLDB
Ã¢Ë†Å¡3-subdivision,SIGGRAPH
Per-pixel smooth shader level of detail,SIGGRAPH
A novel approach to fast multi-frame selection for H.264 video coding,ISCAS
"Design, implementation, and evaluation of a client characterization driven web server",WWW
Learning to map ontologies on the Semantic Web,WWW
Coral++: Adding Object-Orientation to a Logic Database Language,VLDB
Precomputed radiance transfer: theory and practice,SIGGRAPH
Model-theoretic semantics for the web,WWW
Subdivision surfaces in character animation,SIGGRAPH
Observations on Data Manipulation Languages and Their Embedding in General Purpose Programming Languages,VLDB
"Comments on the paper Data Base Design in Theory and Practice"" by ""Bo Sundgren""""omments on the paper ""Data Base Design in Theory and Pra""""mments on the paper ""Data Base Des""""ments on the """,VLDB
Joint congestion con trol and media access control design for wireless ad hoc networks,INFOCOM
Multicast Scheduling for List Requests,INFOCOM
Quantization and Cost Computation of MDP-Based Admission and Routing,INFOCOM
Fast exact and approximate geodesics on meshes,SIGGRAPH
Load optimal MPLS routing with N+M labels,INFOCOM
A Distributed Global Queue Transmission Strategy for a WDM Optical Fiber Network,INFOCOM
Systematic design flow for dynamic data management in visual texture decoder of MPEG-4,ISCAS
Granularity of locks in a shared data base,VLDB
Implementing rotation matrix constraints in Analog VLSI,SIGGRAPH
Lightwave Local Area Network Architectures,INFOCOM
Behavioural Modelling of Mixed Signal ASICs: A new multi-level approach,ISCAS
Optimal weight adaptation for multilayer neural networks,ISCAS
A near optimal algorithm for image compression using Gabor expansion,ISCAS
International workshop on question answering on the web (QAWeb2008),WWW
Analysis of a Statistical Multiplexer Under a General Input Traffic Model,INFOCOM
Tamper Detection in Audit Logs,VLDB
Cache Tables: Paving the Way for an Adaptive Database Cache,VLDB
SMOOTH - A Distributed Multimedia Database System,VLDB
: processing and sharing data streams in grid-based P2P infrastructures,VLDB
"Is visualization REALLY necessary?: the role of visualization in science, engineering, and medicine",SIGGRAPH
Glare aware photography: 4D ray sampling for reducing glare effects of camera lenses,SIGGRAPH
StatSnowball: a statistical approach to extracting entity relationships,WWW
Correction of geometric perceptual distortions in pictures,SIGGRAPH
A Mechanism for Managing the Buffer Pool in a Relational Database System Using the Hot Set Model,VLDB
Teddy: a sketching interface for 3D freeform design,SIGGRAPH
"Bounds on End-to-End Performance via Greedy, Multi-Path Routing in Integrated Services Networks",INFOCOM
Decomposed Parametric Form of the State Model of a Piecewise-Linear System,ISCAS
"Which Apple"" are you talking about ?""""hich ""Apple"" are you talking a""""ich ""Apple"" are you talk""""ch ""Apple"" are you """"h ""Apple"" are y"""" ""Apple"" are""""""Apple"" ar""""Apple"" ar""""ppl""",WWW
Efficient Management of Multiversion Documents by Object Referencing,VLDB
Surface light fields for 3D photography,SIGGRAPH
Design and Performance Tools for Data Base Systems,VLDB
A new digital signature scheme,ISCAS
SLA based profit optimization in web systems,WWW
Optimizing the Topology of Bluetooth Wireless Personal Area Networks,INFOCOM
A Multimedia Office Filing System,VLDB
Origins of Internet Routing Instability,INFOCOM
An Interval Classifier for Database Mining Applications,VLDB
Making Parallel Packet Switches Practical,INFOCOM
"YAGO2: exploring and querying world knowledge in time, space, context, and many languages",WWW
The Design of High Performance Low Cost BiCMOS Op-amps in a Predominantly CMOS Technology,ISCAS
An Algorithm for the Calculation of Generalized Walsh Transform of Boolean Functions,ISCAS
Modularity in Data Base System Design: A Software Engineering View of Data Base Systems,VLDB
Building voiceXML browsers with openVXI,WWW
E.piphany Epicenter Technology Overview,VLDB
On Testing Satisfiability of Tree Pattern Queries,VLDB
Sparse approximation using least squares support vector machines,ISCAS
Design and Implementation of a Fast Virtual Channel Establishment Method for ATM Networks,INFOCOM
Adaptive Locking Strategies in a Multi-node Data Sharing Environment,VLDB
FastScript3D: a JavaScript companion to Java3D,SIGGRAPH
Accuracy enhancement of function-oriented web image classification,WWW
Hopf-like transitions in nonsmooth dynamical systems,ISCAS
Multimedia document architecture (panel session),SIGGRAPH
Progressive compression for lossless transmission of triangle meshes,SIGGRAPH
Automated construction of web accessibility models from transaction click-streams,WWW
Active Views for Electronic Commerce,VLDB
Optimizing the MPEG-4 encoder-advanced diamond zonal search,ISCAS
Service Integration Based on Componential Process Construction and Service Grid,WWW
A virtual environment and model of the eye for surgical simulation,SIGGRAPH
The NICE project,SIGGRAPH
Web-based personalization and management of interactive video,WWW
Bayesian procedure for the Detection of Damped Signals,ISCAS
Fast Surface Particle Repulsion,SIGGRAPH
An Approach to Voice Admission Control in Multihopj Wireless Networks,INFOCOM
Wavelet-based self-similar watermarking for still images,ISCAS
A unified constraint model for XML,WWW
End-to-end Transmission Control Mechanisms for Multiparty Interactive Applications on the Internet,INFOCOM
Distributed Control of Broadcast Radio Networks with Changing Topologies,INFOCOM
Advanced television for the United States: status and issues (panel),SIGGRAPH
Dynamic single phase logic with self-timed stages for power reduction in pipeline circuit designs,ISCAS
and Magic Lenses: The See-Through Interface,SIGGRAPH
Low-voltage closed-loop amplifier circuits based on quasi-floating gate transistors,ISCAS
A comparison of case-based reasoning approaches,WWW
Media360 Workflow-Implementing a Workflow Engine Inside a Database,VLDB
Recover image coding loss with LMS filtering,ISCAS
Creation and rendering of realistic trees,SIGGRAPH
Value-based web caching,WWW
An External Schema Facility for CODASYL 1978,VLDB
Transient Behaviors of TCP-friendly Congestion Control Protocols,INFOCOM
Web page classification without the web page,WWW
Video broadcasting over MIMO-OFDM systems,ISCAS
A hierarchical illumination algorithm for surfaces with glossy reflection,SIGGRAPH
"Rolling boles, optimal XML structure integrity for updating operations",WWW
Cache Satellite Distribution Systems: Modeling and Analysis,INFOCOM
Relationalizing RDF stores for tools reusability,WWW
Knowledge to Mediate from User's Workstations to Databases,VLDB
Dynamic Characteristics of a Digital Transducer,ISCAS
Local Fairness in General-Topology Networks with Convergence Routing,INFOCOM
Physical modeling of heterogeneous embedded deformable object deformation,SIGGRAPH
Optimal Partition of QoS Requirements on Unicast Paths and Multicast Trees,INFOCOM
An Effective Deductive Object-Oriented Database Through Language Integration,VLDB
Priority in DBMS Resource Scheduling,VLDB
Animating explosions,SIGGRAPH
Markov-Modulated Flow Model for the Output Queues of a Packet Switch,INFOCOM
Generalized Delay Optimization of Resistive Interconnections through an Extension of Logical Effort,ISCAS
System-on-chip ultrasonic transducer for dental tissue formation and stem cell growth and differentiation,ISCAS
A metro map metaphor for guided tours on the Web: the Webvise guided tour system,WWW
A low-power low-voltage OTA-C sinusoidal oscillator with more than two decades of linear tuning range,ISCAS
Design and Performance Evaluation of an Improved Mobile IP Protocol,INFOCOM
Estimating the Selectivity of Spatial Queries Using the `Correlation' Fractal Dimension,VLDB
Use of performance sensitivities in routing analog circuits,ISCAS
Constraint Equations: Declarative Expression of Constraints With Automatic Enforcement,VLDB
Effective summarization of large collections of personal photos,WWW
Resource Allocation during Handoff through Dynamic Schemes for Mobile Multimedia Wireless Networks,INFOCOM
Algebraic Specification Schemes for Data Base Systems,VLDB
Vector transform video coding for packet switched networks,ISCAS
Imparting non-technical skills in digital media students,SIGGRAPH
Document Marking and Identification Using Both Line and Word Shifting,INFOCOM
"The New Locking, Logging, and Recovery Architecture of Microsoft SQL Server 7.0",VLDB
A Web Media Agent,WWW
SIRCIT: A System for AT&T Overseas Network Planning,INFOCOM
CMOS dynamic linking networks for real-time human face tracking,ISCAS
Design of Bilinear Digital Ladder Filters,ISCAS
The ENTRAPID Protocol Development Environment,INFOCOM
Efficient Web form entry on PDAs,WWW
Load Balancing of Complex Stochastic Tasks Using Stochastic Majorization,INFOCOM
A Novel Dual Channel MAC Protocol for IEEE802.11 Ad-Hoc Networks,INFOCOM
On the temporal dimension of search,WWW
Psychological Issues in Data Base Management,VLDB
Index Access with a Finite Buffer,VLDB
Free-form shape design using triangulated surfaces,SIGGRAPH
Screen: bodily interaction with text in immersive VR,SIGGRAPH
A Comparative Performance Study of Various Congestion Controls for ISDN Frame-Relay Networks,INFOCOM
Modeling the author bias between two on-line computer science citation databases,WWW
Local adaptation luminance via segmentation and assimilation,SIGGRAPH
Scheduling policies for real-time and non-real-time traffic in a statistical multiplexer,INFOCOM
"Walking > Walking-in-Place > Flying, in Virtual Environments",SIGGRAPH
Causal relation of queries from temporal logs,WWW
Auto-generated strokes for motion segmentation,ISCAS
"A Software System for Locating Mobile Users: Design, Evaluation, and Lessons",INFOCOM
A One-Pass Algorithm for Accurately Estimating Quantiles for Disk-Resident Data,VLDB
Reasoning about similarity queries in text retrieval tasks,WWW
An Architecture and Protocol for a high Speed Local Area Network Supporting Integrated Traffic,INFOCOM
Efficient Algorithms for Processing XPath Queries,VLDB
A new class AB differential input stage for implementation of low-voltage high slew rate op amps and linear transconductors,ISCAS
A novel switched-current phase locked loop,ISCAS
Complex character animation that combines kinematic and dynamic control,SIGGRAPH
'e-science and cyberinfrastructure: a middleware perspective,WWW
A Fast Algorithm for Solving Toeplitz Systems of Equations,ISCAS
A Varying Pulse Width Second Order Derivative Gaussian Pulse Generator for UWB Transceivers in CMOS,ISCAS
Queueing Analysis of TDMA with Limited and Unlimited Buffer Capacity,INFOCOM
Homomorphic factorization of BRDFs for high-performance rendering,SIGGRAPH
Detecting hard faults with combined approximate forward/backward symbolic techniques,ISCAS
Concept Classification and Search on Internet Using Machine Learning and Parallel Computing Techniques,WWW
"Comments on the paper Data Base Design in Theory and Practice"" by Bo Sundgren""""omments on the paper ""Data Base Design in Theory and Pr""""mments on the paper ""Data Base De""""ments on the""",VLDB
Interactive Web Search by Graphical Query Refinement,WWW
Living the TV revolution: unite MHP to the web or face IDTV irrelevance,WWW
Matching Database Access Patterns to Storage Characteristics,VLDB
Pushing reactive services to XML repositories using active rules,WWW
An Approach to Data Communication between Different Generalized Data Base Management Systems,VLDB
Localization for anisotropic sensor networks,INFOCOM
TUF : Tag-based Unified Fairness,INFOCOM
Efficient generation of motion transitions using spacetime constraints,SIGGRAPH
A fully parallel algorithm for fractal image decoding using IFS codes,ISCAS
Rendering parametric surfaces in pen and ink,SIGGRAPH
The Starburst Long Field Manager,VLDB
A generalized framework of exploring category information for question retrieval in community question answer archives,WWW
Detecting Change in Data Streams,VLDB
Burstiness Bounds for Some Burst Reducing Servers,INFOCOM
Geometric algorithms for target localization and tracking under location uncertainties in wireless sensor networks,INFOCOM
Bandwidth Modeling for Network-Aware Applications,INFOCOM
Effects of the Recession on Public Mood in the UK,WWW
Adaptive on-line page importance computation,WWW
"Proceedings of the 19th International Conference on World Wide Web, WWW 2010, Raleigh, North Carolina, USA, April 26-30, 2010",WWW
Advances in W3C Web graphics standards,SIGGRAPH
Buffer Sharing in Dynamic Load Environment,INFOCOM
Approximate Boolean operations on free-form solids,SIGGRAPH
Simulation and analysis of distributed PV generation in a LV network using MATLAB-Simulink,ISCAS
Comparison of Wavelength-Interchanging and Wavelength-Selective Cross-Connects in Multiwavelength All-Optical Networks,INFOCOM
Anonymous communication with network coding against traffic analysis attack,INFOCOM
Light Field Rendering,SIGGRAPH
A Parallel Processing Strategy for Evaluating Recursive Queries,VLDB
Ranking community answers via analogical reasoning,WWW
ARROW: GenerAting SignatuRes to Detect DRive-By DOWnloads,WWW
Social network fragments: an interactive tool for exploring digital social connections,SIGGRAPH
Estimating Block Accessses when Attributes are Correlated,VLDB
Locating Data Sources in Large Distributed Systems,VLDB
SICTA: a 0.693 contention tree algorithm using successive interference cancellation,INFOCOM
Vision-based modeling for production-quality integration of photographic imagery and 3D graphics,SIGGRAPH
On representation of a highlight on the Web: the amber room as a cultural phenomenon in progress,WWW
Offset compensation using unbalanced polarization,ISCAS
Statement map: assisting information crediblity analysis by visualizing arguments,WWW
A generalized MIMO architecture for set-membership-based signal processing,ISCAS
Providing Database Migration Tools - A Practicioner's Approach,VLDB
Crawling a country: better strategies than breadth-first for web page ordering,WWW
Database De-Centralization - A Practical Approach,VLDB
Approaches to teaching introductory computer graphics,SIGGRAPH
Implementing physical hyperlinks using ubiquitous identifier resolution,WWW
Doing interface ecology: the practice of metadisciplinary,SIGGRAPH
Efficient Fair Queueing for ATM Networks Using Uniform Round Robin,INFOCOM
Networked Data Management Design Points,VLDB
Enhancing Survivability of Mobile Internet Access Using Mobile IP with Location Registers,INFOCOM
Scientific Databases - State of the Art and Future Directions,VLDB
Packet Fair Queueing Algorithms for Wireless Networks with Location-Dependent Errors,INFOCOM
Fair Bandwidth Sharing Among Virtual Networks: A Capacity Resizing Approach,INFOCOM
A robust optimization approach to backup network design with random failures,INFOCOM
Analysis of a Wireless MAC Protocol with Client Server Traffic,INFOCOM
Motion signal processing,SIGGRAPH
Explicit Circuit Models of Multi-Dimensional Piecewise-Linear Networks,ISCAS
A Semantic Model for Data Base Protection Languages,VLDB
CORDS: Automatic Generation of Correlation Statistics in DB2,VLDB
Crosstalk noise estimation using effective coupling capacitance,ISCAS
Animating art history: building a bridge between disciplines,SIGGRAPH
Localized minimum-energy broadcasting in ad-hoc networks,INFOCOM
A Web-based Management Tool for Health Care Services with Appointment Required,WWW
Hierarchical Atomic Navigation for Small Display Devices,WWW
Two-dimensional lossless two-port for circularly symmetric digital filtering,ISCAS
Architecture of a quality based intelligent proxy (QBIX) for MPEG-4 videos,WWW
A novel physical based model of deep-submicron CMOS transistors mismatch for Monte Carlo SPICE simulation,ISCAS
Stereo computer graphics for virtual reality,SIGGRAPH
Transient Analysis of Multi-Server Queues with Markov-Modulated Poisson Arrivals and Overload Control,INFOCOM
Using Minimal Source Trees for On-Demand Routing in Ad Hoc Networks,INFOCOM
Assessment of VoIP quality over Internet Backbones,INFOCOM
Active Message Communication for Tiny Networked Sensors,INFOCOM
Transient Behavior of the FDDI Protocol Under Heavy Load,INFOCOM
Physically-based glare effects for digital images,SIGGRAPH
Digital B-Trees,VLDB
Method of displaying optical effects within water using accumulation buffer,SIGGRAPH
Space-efficient tracking of network-wide flow correlations,INFOCOM
Evaluating Blocking Probability in Distributors,INFOCOM
SemRank: ranking complex relationship search results on the semantic web,WWW
A Time-Wavelength Scheduling Algorithm for Interconnected WDM Star Networks,INFOCOM
Fuzzycast: Efficient Video-on-demand over Multicast,INFOCOM
FlashTrie: Hash-based Prefix-Compressed Trie for IP Route Lookup Beyond 100Gbps,INFOCOM
